Date,Open,High,Low,Last Close
06/21/2018,232,232,232,232
06/22/2018,230,230,230,230
06/25/2018,225,225,225,225
06/26/2018,226,226,226,226
06/27/2018,228,228,228,228
06/28/2018,229,229,229,229
06/29/2018,228,228,228,228
07/02/2018,227,227,227,227
07/03/2018,227,227,227,227
07/04/2018,227,227,227,227
07/06/2018,228,228,228,228
07/09/2018,229,229,229,229
07/10/2018,231,231,231,231
07/11/2018,230,230,230,230
07/12/2018,232,232,232,232
07/13/2018,233,233,233,233
07/16/2018,232,232,232,232
07/17/2018,233,233,233,233
07/18/2018,235,235,235,235
07/19/2018,235,235,235,235
07/20/2018,233,233,233,233
07/23/2018,233,233,233,233
07/24/2018,234,234,234,234
07/25/2018,235,235,235,235
07/26/2018,237,237,237,237
07/27/2018,236,236,236,236
07/30/2018,233,233,233,233
07/31/2018,234,234,234,234
08/01/2018,234,234,234,234
08/02/2018,235,235,235,235
08/03/2018,237,237,237,237
08/06/2018,239,239,239,239
08/07/2018,240,240,240,240
08/08/2018,239,239,239,239
08/09/2018,240,240,240,240
08/10/2018,242,242,242,242
08/13/2018,241,241,241,241
08/14/2018,242,242,242,242
08/16/2018,243,243,243,243
08/17/2018,241,241,241,241
08/20/2018,242,242,242,242
08/21/2018,237,237,237,237
08/22/2018,239,239,239,239
08/23/2018,239,239,239,239
08/24/2018,239,239,239,239
08/27/2018,240,240,240,240
08/28/2018,240,240,240,240
08/29/2018,241,241,241,241
08/30/2018,243,243,243,243
08/31/2018,243,243,243,243
09/03/2018,244,244,244,244
09/04/2018,243,243,243,243
09/05/2018,240,240,240,240
09/06/2018,240,240,240,240
09/07/2018,241,241,241,241
09/10/2018,242,242,242,242
09/11/2018,241,241,241,241
09/12/2018,242,242,242,242
09/13/2018,242,242,242,242
09/14/2018,243,243,243,243
09/17/2018,242,242,242,242
09/18/2018,242,242,242,242
09/19/2018,243,243,243,243
09/20/2018,243,243,243,243
09/21/2018,244,244,244,244
09/24/2018,242,242,242,242
09/25/2018,242,242,242,242
09/26/2018,242,242,242,242
09/27/2018,244,244,244,244
09/28/2018,245,245,245,245
10/01/2018,248,248,247,247
10/02/2018,247,247,247,247
10/03/2018,249,249,249,249
10/04/2018,246,246,246,246
10/05/2018,245,245,245,245
10/08/2018,244,244,244,244
10/09/2018,245,245,245,245
10/10/2018,240,240,240,240
10/11/2018,233,233,233,233
10/12/2018,233,233,233,233
10/15/2018,233,233,233,233
10/16/2018,235,235,235,235
10/17/2018,236,236,236,236
10/18/2018,236,236,236,236
10/19/2018,236,236,236,236
10/22/2018,235,235,235,235
10/23/2018,231,231,231,231
10/24/2018,231,231,231,231
10/25/2018,232,232,232,232
10/29/2018,229,229,229,229
10/30/2018,228,228,228,228
10/31/2018,234,234,234,234
11/02/2018,235,235,233,233
11/05/2018,233,233,233,233
11/06/2018,235,235,235,235
11/07/2018,237,237,237,237
11/08/2018,240,240,240,240
11/09/2018,240,240,240,240
11/12/2018,238,238,238,238
11/13/2018,238,238,238,238
11/14/2018,234,234,234,234
11/15/2018,233,233,233,233
11/16/2018,234,234,234,234
11/19/2018,231,231,231,231
11/20/2018,227,227,227,227
11/21/2018,229,229,229,229
11/22/2018,226,226,226,226
11/23/2018,228,228,228,228
11/26/2018,229,229,229,229
11/27/2018,231,231,231,231
11/28/2018,233,233,233,233
11/29/2018,235,235,235,235
11/30/2018,236,236,236,236
12/03/2018,242,242,240,240
12/04/2018,239,239,238,238
12/05/2018,234,234,233,233
12/06/2018,231,231,226,226
12/07/2018,230,230,228,228
12/10/2018,225,225,224,224
12/11/2018,227,229,227,229
12/12/2018,229,230,229,230
12/13/2018,229,229,229,229
12/14/2018,226,227,226,227
12/17/2018,225,225,224,224
12/18/2018,220,220,220,220
12/19/2018,219,219,219,219
12/20/2018,213,213,213,213
12/21/2018,212,212,212,212
12/27/2018,211,211,209,209
12/28/2018,212,212,212,212
01/02/2019,211,216,211,216
01/03/2019,213,213,212,212
01/04/2019,213,216,213,216
01/07/2019,217,217,217,217
01/08/2019,219,220,218,218
01/09/2019,220,221,220,220
01/10/2019,218,220,218,220
01/11/2019,220,221,220,221
01/14/2019,220,220,220,220
01/15/2019,221,223,221,223
01/16/2019,224,225,224,225
01/17/2019,224,225,224,225
01/18/2019,227,230,227,230
01/21/2019,229,229,229,229
01/22/2019,229,229,228,228
01/23/2019,226,226,226,226
01/24/2019,227,228,227,228
01/25/2019,229,230,229,229
01/28/2019,228,228,226,226
01/29/2019,226,226,226,226
01/30/2019,227,228,227,228
01/31/2019,229,231,229,231
02/01/2019,232,232,231,231
02/04/2019,232,232,232,232
02/05/2019,233,235,233,235
02/06/2019,235,235,235,235
02/07/2019,235,235,234,234
02/08/2019,233,233,233,233
02/11/2019,234,235,234,235
02/12/2019,236,237,236,237
02/13/2019,238,239,238,239
02/14/2019,240,240,238,238
02/15/2019,238,241,238,241
02/18/2019,241,241,241,241
02/19/2019,241,241,240,240
02/20/2019,240,240,240,240
02/21/2019,242,242,240,240
02/22/2019,240,242,240,242
02/25/2019,243,243,243,243
02/26/2019,241,242,241,242
02/27/2019,240,240,240,240
02/28/2019,240,240,240,240
03/01/2019,241,241,241,241
03/04/2019,243,243,242,242
03/05/2019,242,243,242,243
03/06/2019,242,242,241,241
03/07/2019,240,241,240,241
03/08/2019,241,241,239,239
03/11/2019,240,243,240,243
03/12/2019,243,243,243,243
03/13/2019,243,244,243,244
03/14/2019,244,244,244,244
03/15/2019,244,245,244,245
03/18/2019,245,245,245,245
03/19/2019,246,247,246,247
03/20/2019,244,244,244,244
03/21/2019,242,246,242,246
03/22/2019,246,246,244,244
03/25/2019,245,245,243,243
03/26/2019,244,245,244,245
03/27/2019,246,246,244,244
03/28/2019,245,246,245,246
03/29/2019,247,247,247,247
04/01/2019,249,250,249,250
04/02/2019,252,252,252,252
04/03/2019,252,252,252,252
04/04/2019,251,252,251,252
04/05/2019,252,253,252,253
04/08/2019,253,253,253,253
04/09/2019,251,251,251,251
04/10/2019,251,252,251,252
04/11/2019,251,252,251,252
04/12/2019,252,252,252,252
04/15/2019,253,253,252,252
04/16/2019,253,253,253,253
04/17/2019,253,253,252,252
04/18/2019,252,254,252,254
04/23/2019,255,257,255,257
04/24/2019,257,258,257,258
04/25/2019,259,259,259,259
04/26/2019,258,258,258,258
04/29/2019,259,259,259,259
04/30/2019,259,259,257,257
05/02/2019,257,257,256,256
05/03/2019,259,259,258,258
05/06/2019,258,258,257,257
05/07/2019,257,257,254,254
05/08/2019,254,254,254,254
05/09/2019,259,259,249,249
05/10/2019,252,252,248,248
05/13/2019,250,250,247,247
05/14/2019,247,250,247,250
05/15/2019,249,250,249,250
05/16/2019,254,254,254,254
05/17/2019,254,254,254,254
05/20/2019,253,253,251,251
05/21/2019,252,253,252,253
05/22/2019,253,253,253,253
05/23/2019,251,251,249,249
05/24/2019,249,249,248,248
05/27/2019,249,249,249,249
05/28/2019,248,249,248,249
05/29/2019,246,246,246,246
05/30/2019,246,247,246,247
05/31/2019,244,245,244,245
06/03/2019,242,243,242,243
06/04/2019,240,240,240,240
06/05/2019,246,247,246,247
06/06/2019,248,248,247,247
06/07/2019,250,250,250,250
06/11/2019,252,252,252,252
06/12/2019,250,252,250,251
06/13/2019,251,253,251,253
06/14/2019,253,254,253,254
06/17/2019,256,256,254,254
06/18/2019,254,258,254,258
06/19/2019,257,257,257,257
06/20/2019,257,257,257,257
06/21/2019,258,258,258,258
06/24/2019,255,256,255,256
06/25/2019,254,254,254,254
06/26/2019,254,254,253,253
06/27/2019,254,254,254,254
06/28/2019,254,254,254,254
07/01/2019,258,258,258,258
07/02/2019,260,260,259,259
07/03/2019,261,261,261,261
07/04/2019,263,263,262,262
07/05/2019,263,263,262,262
07/08/2019,263,263,262,262
07/09/2019,261,262,261,262
07/10/2019,262,262,262,262
07/11/2019,263,263,263,263
07/12/2019,264,264,264,264
07/15/2019,267,267,264,264
07/16/2019,264,265,264,265
07/17/2019,266,266,263,263
07/18/2019,262,262,262,262
07/19/2019,268,268,264,264
07/22/2019,262,262,262,262
07/23/2019,264,265,264,265
07/24/2019,266,266,266,266
07/25/2019,266,266,266,266
07/26/2019,266,268,266,268
07/30/2019,268,268,267,267
07/31/2019,265,267,265,267
08/01/2019,267,269,267,269
08/02/2019,260,262,260,260
08/05/2019,258,258,253,253
08/06/2019,250,252,250,252
08/07/2019,254,254,251,251
08/08/2019,257,257,257,257
08/09/2019,258,258,256,256
08/12/2019,257,257,255,255
08/13/2019,254,258,254,258
08/14/2019,259,259,245,253
08/15/2019,253,253,253,253
08/16/2019,253,257,253,257
08/19/2019,259,260,259,260
08/20/2019,260,260,260,260
08/21/2019,259,285,259,260
08/22/2019,260,260,260,260
08/23/2019,261,261,255,255
08/26/2019,255,255,255,255
08/27/2019,255,256,255,256
08/28/2019,256,257,256,257
08/29/2019,257,261,257,261
08/30/2019,263,263,263,263
09/02/2019,262,263,262,263
09/03/2019,263,263,262,262
09/04/2019,265,265,263,263
09/05/2019,265,267,265,267
09/06/2019,267,267,267,267
09/09/2019,268,268,267,267
09/10/2019,267,267,265,265
09/11/2019,267,269,267,269
09/12/2019,270,270,270,270
09/13/2019,269,269,269,269
09/16/2019,270,270,270,270
09/17/2019,270,270,269,269
09/18/2019,269,269,268,268
09/19/2019,268,271,268,271
09/20/2019,271,271,271,271
09/23/2019,270,270,270,270
09/24/2019,270,270,269,269
09/25/2019,268,268,268,268
09/26/2019,270,270,269,269
09/27/2019,270,270,270,270
09/30/2019,270,270,270,270
10/01/2019,271,271,269,269
10/02/2019,267,267,261,261
10/03/2019,262,262,261,261
10/04/2019,263,265,263,265
10/07/2019,265,266,265,266
10/08/2019,266,266,266,266
10/09/2019,262,263,262,263
10/10/2019,263,265,263,265
10/14/2019,269,269,267,267
10/15/2019,268,269,268,269
10/16/2019,269,269,268,268
10/17/2019,268,268,267,267
10/18/2019,267,267,266,266
10/21/2019,266,267,266,267
10/22/2019,268,268,268,268
10/23/2019,268,268,268,268
10/24/2019,268,269,268,269
10/25/2019,267,270,267,270
10/28/2019,271,272,271,272
10/29/2019,272,272,272,272
10/30/2019,271,272,270,271
10/31/2019,271,271,269,269
11/01/2019,270,272,270,272
11/04/2019,273,274,273,274
11/05/2019,275,276,275,276
11/06/2019,275,275,275,275
11/07/2019,277,278,277,278
11/08/2019,278,278,278,278
11/11/2019,278,278,277,277
11/12/2019,278,279,278,279
11/13/2019,280,280,279,279
11/14/2019,279,279,279,279
11/15/2019,280,280,280,280
11/18/2019,280,280,279,279
11/19/2019,279,279,279,279
11/20/2019,279,280,279,280
11/21/2019,278,278,278,278
11/22/2019,279,279,279,279
11/25/2019,281,282,281,282
11/26/2019,283,283,283,283
11/27/2019,284,284,284,284
11/28/2019,284,284,284,284
11/29/2019,285,285,284,284
12/02/2019,285,285,279,279
12/03/2019,280,280,276,276
12/04/2019,276,279,276,279
12/05/2019,280,280,278,278
12/06/2019,279,283,279,283
12/09/2019,283,283,282,282
12/10/2019,282,282,281,281
12/11/2019,281,281,281,281
12/12/2019,281,283,281,283
12/13/2019,284,284,283,283
12/16/2019,284,286,284,286
12/17/2019,285,285,285,285
12/18/2019,285,286,285,286
12/19/2019,286,286,286,286
12/20/2019,287,290,287,290
12/23/2019,289,289,289,289
12/27/2019,290,290,289,289
12/30/2019,290,290,288,288
01/02/2020,288,288,288,288
01/03/2020,288,288,288,288
01/06/2020,287,288,287,288
01/07/2020,289,290,289,290
01/08/2020,289,291,289,291
01/09/2020,292,293,292,293
01/10/2020,294,294,293,293
01/13/2020,293,293,293,293
01/14/2020,293,294,293,294
01/15/2020,294,294,294,294
01/16/2020,295,295,295,295
01/17/2020,296,298,296,298
01/20/2020,298,298,298,298
01/21/2020,298,298,297,298
01/22/2020,299,299,299,299
01/23/2020,299,299,298,298
01/24/2020,299,299,299,299
01/27/2020,295,295,293,293
01/28/2020,295,296,295,296
01/29/2020,298,298,297,297
01/30/2020,293,294,293,294
01/31/2020,295,295,291,291
02/03/2020,291,293,291,293
02/04/2020,295,298,295,298
02/05/2020,297,297,297,297
02/06/2020,304,304,303,303
02/07/2020,304,304,304,304
02/10/2020,306,306,305,305
02/11/2020,308,308,307,307
02/12/2020,308,309,308,309
02/13/2020,309,310,308,310
02/14/2020,312,312,311,311
02/17/2020,312,312,312,312
02/18/2020,310,310,310,310
02/19/2020,311,313,311,313
02/20/2020,313,313,310,310
02/21/2020,309,309,307,307
02/24/2020,298,298,298,298
02/25/2020,300,300,300,300
02/26/2020,289,291,289,291
02/27/2020,283,283,277,277
02/28/2020,265,265,265,265
03/02/2020,268,270,265,270
03/03/2020,276,277,272,272
03/04/2020,272,277,272,274
03/05/2020,277,277,274,274
03/06/2020,260,260,260,260
03/09/2020,260,260,244,244
03/10/2020,249,253,244,244
03/11/2020,246,246,246,246
03/12/2020,228,228,228,228
03/13/2020,229,229,228,228
03/16/2020,230,230,225,225
03/17/2020,230,230,228,228
03/18/2020,219,219,219,219
03/19/2020,221,223,221,223
03/20/2020,221,221,221,221
03/23/2020,204,204,204,204
03/24/2020,225,225,225,225
03/25/2020,231,231,231,231
03/26/2020,223,235,223,235
03/27/2020,230,230,230,230
03/30/2020,236,236,236,236
03/31/2020,239,239,239,239
04/01/2020,229,229,229,229
04/03/2020,231,231,231,231
04/06/2020,241,241,241,241
04/07/2020,249,249,249,249
04/08/2020,248,249,248,249
04/09/2020,252,255,252,255
04/14/2020,257,257,257,257
04/15/2020,257,257,254,254
04/16/2020,258,258,258,258
04/17/2020,260,260,260,260
04/20/2020,263,263,263,263
04/21/2020,262,262,252,252
04/22/2020,258,258,258,258
04/23/2020,258,262,258,262
04/24/2020,260,260,259,259
04/27/2020,262,265,262,265
04/28/2020,274,274,266,266
04/29/2020,268,270,268,270
04/30/2020,266,266,266,266
05/04/2020,257,258,257,258
05/05/2020,263,267,263,267
05/06/2020,267,267,266,266
05/07/2020,266,268,266,268
05/08/2020,269,269,269,269
05/11/2020,271,272,270,270
05/12/2020,270,270,270,270
05/13/2020,264,264,262,262
05/14/2020,260,260,260,260
05/15/2020,265,265,261,261
05/18/2020,267,272,267,272
05/19/2020,273,273,271,271
05/20/2020,269,271,269,271
05/21/2020,269,269,269,269
05/22/2020,270,270,270,270
05/25/2020,272,275,272,275
05/26/2020,276,276,274,274
05/27/2020,277,277,273,273
05/28/2020,277,277,276,276
05/29/2020,273,273,272,272
06/02/2020,275,275,274,274
06/03/2020,276,277,276,277
06/04/2020,277,277,276,276
06/05/2020,278,284,278,284
06/08/2020,288,288,283,285
06/09/2020,287,287,283,283
06/10/2020,285,285,282,282
06/11/2020,278,278,272,272
06/12/2020,269,269,269,269
06/15/2020,268,268,268,268
06/16/2020,274,279,274,279
06/17/2020,278,278,278,278
06/18/2020,276,278,276,278
06/19/2020,279,281,279,281
06/22/2020,276,276,276,276
06/23/2020,278,279,278,279
06/24/2020,278,278,272,272
06/25/2020,271,273,271,273
06/26/2020,271,271,271,271
06/29/2020,270,270,270,270
07/02/2020,281,281,281,281
07/06/2020,282,283,282,282
07/07/2020,282,282,282,282
07/08/2020,280,280,279,279
07/09/2020,277,277,277,277
07/10/2020,278,280,278,280
07/13/2020,283,285,283,285
07/14/2020,282,282,278,278
07/15/2020,283,283,283,283
07/16/2020,282,282,282,282
07/17/2020,283,283,283,283
07/20/2020,281,284,281,284
07/21/2020,285,286,285,286
07/22/2020,284,284,283,283
07/23/2020,284,284,284,284
07/24/2020,278,278,278,278
07/27/2020,277,277,275,275
07/28/2020,276,277,276,277
07/29/2020,277,277,277,277
07/30/2020,277,277,275,275
07/31/2020,275,276,275,276
08/03/2020,278,281,278,281
08/04/2020,281,282,281,282
08/05/2020,282,282,281,281
08/06/2020,279,281,279,281
08/07/2020,282,284,282,284
08/10/2020,284,285,284,285
08/11/2020,287,287,287,287
08/12/2020,287,287,287,287
08/13/2020,287,287,287,287
08/14/2020,287,287,287,287
08/17/2020,287,287,287,287
08/18/2020,286,286,285,285
08/19/2020,286,286,286,286
08/20/2020,286,286,286,286
08/21/2020,287,289,287,289
08/24/2020,290,291,290,291
08/25/2020,293,293,292,292
08/26/2020,292,294,292,294
08/27/2020,294,297,294,297
08/28/2020,297,297,295,295
08/31/2020,296,296,294,294
09/01/2020,293,295,293,295
09/02/2020,298,302,298,302
09/03/2020,305,305,295,295
09/04/2020,292,294,287,287
09/07/2020,289,292,289,292
09/08/2020,292,293,287,287
09/09/2020,285,289,285,289
09/10/2020,289,289,288,288
09/11/2020,286,286,285,285
09/14/2020,287,288,287,288
09/15/2020,287,290,287,290
09/16/2020,290,291,290,291
09/17/2020,285,286,285,286
09/18/2020,285,285,283,283
09/21/2020,281,281,277,277
09/22/2020,282,282,282,282
09/23/2020,284,284,284,284
09/24/2020,280,280,280,280
09/25/2020,281,283,281,283
09/28/2020,288,289,288,289
09/29/2020,289,289,286,286
09/30/2020,284,290,284,290
10/01/2020,290,290,290,290
10/02/2020,286,288,286,288
10/05/2020,289,290,288,290
10/06/2020,291,291,291,291
10/07/2020,291,291,291,291
10/08/2020,294,294,294,294
10/09/2020,296,296,295,295
10/12/2020,297,301,297,301
10/13/2020,301,302,301,302
10/14/2020,302,302,300,300
10/15/2020,298,298,298,298
10/16/2020,300,301,300,301
10/19/2020,301,301,297,297
10/20/2020,295,295,293,293
10/21/2020,294,294,292,292
10/22/2020,291,293,291,293
10/23/2020,294,294,294,294
10/27/2020,290,290,289,289
10/28/2020,288,288,282,283
10/29/2020,285,285,285,285
10/30/2020,283,283,283,283
11/02/2020,280,287,280,287
11/03/2020,288,291,288,291
11/04/2020,290,298,290,298
11/05/2020,299,300,299,300
11/06/2020,298,298,297,297
11/09/2020,302,308,302,308
11/10/2020,304,304,302,302
11/11/2020,303,306,303,306
11/12/2020,304,304,304,304
11/13/2020,303,304,303,304
11/16/2020,307,309,307,309
11/17/2020,308,308,307,307
11/18/2020,307,307,307,307
11/19/2020,304,304,303,303
11/23/2020,304,304,304,304
11/24/2020,307,308,306,308
11/25/2020,308,308,307,307
11/26/2020,307,308,307,307
11/27/2020,307,307,307,307
11/30/2020,305,305,304,304
12/01/2020,308,309,307,307
12/02/2020,306,306,306,306
12/03/2020,305,305,305,305
12/04/2020,305,307,305,307
12/07/2020,307,307,307,307
12/08/2020,307,308,306,308
12/09/2020,309,309,309,309
12/10/2020,307,307,306,306
12/11/2020,305,305,304,304
12/14/2020,306,306,306,306
12/15/2020,305,305,304,305
12/16/2020,307,307,307,307
12/17/2020,308,308,306,306
12/18/2020,306,306,305,305
12/21/2020,305,305,303,303
12/22/2020,304,310,304,310
12/23/2020,310,310,306,306
12/28/2020,309,309,309,309
12/29/2020,308,308,308,308
12/30/2020,308,308,308,308
01/04/2021,311,311,304,304
01/05/2021,304,305,304,305
01/07/2021,310,313,310,313
01/08/2021,315,315,314,314
01/11/2021,316,317,316,317
01/12/2021,316,316,316,316
01/13/2021,315,316,314,316
01/14/2021,318,318,318,318
01/15/2021,315,315,315,315
01/18/2021,314,316,314,316
01/19/2021,316,316,316,316
01/20/2021,317,320,317,320
01/21/2021,322,322,321,321
01/22/2021,319,319,319,319
01/25/2021,320,321,318,318
01/26/2021,321,321,320,320
01/27/2021,319,319,317,317
01/28/2021,312,318,311,318
01/29/2021,312,312,311,311
02/01/2021,311,314,311,314
02/02/2021,317,322,317,322
02/03/2021,323,323,322,322
02/04/2021,322,325,322,325
02/05/2021,327,327,326,326
02/08/2021,329,329,327,327
02/09/2021,328,328,326,326
02/10/2021,327,327,325,325
02/11/2021,327,327,326,326
02/12/2021,326,327,326,327
02/15/2021,329,330,329,330
02/17/2021,329,329,328,328
02/18/2021,329,329,327,327
02/19/2021,329,329,329,329
02/22/2021,325,325,323,323
02/23/2021,323,323,320,320
02/24/2021,322,325,322,325
02/25/2021,326,326,322,322
02/26/2021,317,320,317,320
03/01/2021,323,323,323,323
03/02/2021,327,327,325,325
03/03/2021,326,326,323,323
03/04/2021,320,322,320,322
03/05/2021,318,318,318,318
03/08/2021,325,330,325,330
03/09/2021,328,331,328,331
03/10/2021,329,332,329,332
03/11/2021,333,334,332,334
03/12/2021,332,333,332,333
03/15/2021,334,334,334,334
03/16/2021,337,338,337,338
03/17/2021,337,338,337,337
03/18/2021,336,336,336,336
03/19/2021,333,334,333,334
03/22/2021,332,335,332,335
03/23/2021,335,336,335,336
03/24/2021,337,337,337,337
03/25/2021,335,335,334,334
03/26/2021,338,338,338,338
03/29/2021,340,340,340,340
03/30/2021,342,342,342,342
03/31/2021,342,343,342,343
04/01/2021,345,345,345,345
04/06/2021,349,349,349,349
04/07/2021,347,347,347,347
04/08/2021,349,349,348,348
04/09/2021,349,350,349,350
04/12/2021,351,351,351,351
04/13/2021,352,352,352,352
04/14/2021,351,351,351,351
04/15/2021,350,352,350,352
04/16/2021,353,353,353,353
04/19/2021,353,353,353,353
04/20/2021,350,350,350,350
04/21/2021,350,350,350,350
04/22/2021,351,352,351,352
04/23/2021,349,351,349,351
04/26/2021,350,352,350,352
04/27/2021,352,352,352,352
04/28/2021,353,353,351,351
04/29/2021,352,352,351,351
04/30/2021,352,352,352,352
05/03/2021,353,353,352,352
05/04/2021,353,353,349,349
05/05/2021,353,354,353,353
05/06/2021,352,352,350,350
05/07/2021,353,353,353,353
05/10/2021,353,353,352,353
05/11/2021,349,349,346,346
05/12/2021,347,347,345,345
05/13/2021,341,345,341,345
05/14/2021,346,348,346,348
05/17/2021,348,348,346,346
05/18/2021,348,348,346,346
05/19/2021,340,340,338,339
05/20/2021,342,345,342,345
05/21/2021,346,347,346,347
05/25/2021,349,349,348,348
05/27/2021,348,350,348,350
05/28/2021,351,352,351,351
05/31/2021,348,348,348,348
06/01/2021,349,349,349,349
06/02/2021,349,350,349,350
06/03/2021,351,351,351,351
06/04/2021,352,352,352,352
06/07/2021,353,353,351,351
06/08/2021,352,353,351,351
06/09/2021,353,353,353,353
06/10/2021,353,353,353,353
06/11/2021,353,356,353,356
06/14/2021,357,357,355,355
06/15/2021,357,357,355,355
06/18/2021,357,357,357,357
06/21/2021,359,359,359,359
06/22/2021,361,362,361,362
06/23/2021,362,362,361,361
06/24/2021,361,363,361,363
06/25/2021,364,364,364,364
06/28/2021,364,364,364,364
06/29/2021,365,366,365,366
06/30/2021,368,368,368,368
07/01/2021,369,369,369,369
07/05/2021,372,373,372,373
07/06/2021,372,372,372,372
07/07/2021,373,374,373,374
07/08/2021,373,373,370,370
07/09/2021,374,374,374,374
07/12/2021,374,375,374,375
07/13/2021,375,378,375,378
07/14/2021,376,376,376,376
07/15/2021,375,375,375,375
07/16/2021,375,375,374,374
07/19/2021,372,372,367,367
07/20/2021,369,372,369,372
07/21/2021,374,374,374,374
07/22/2021,376,376,376,376
07/23/2021,378,381,378,381
07/26/2021,380,380,380,380
07/27/2021,380,380,377,377
07/28/2021,379,379,379,379
07/29/2021,378,378,378,378
07/30/2021,375,377,375,377
08/02/2021,378,378,378,378
08/03/2021,376,376,376,376
08/04/2021,378,379,378,378
08/05/2021,378,380,378,380
08/06/2021,380,383,380,383
08/09/2021,384,384,383,383
08/10/2021,385,385,385,385
08/11/2021,385,386,385,385
08/12/2021,385,385,385,385
08/13/2021,385,385,385,385
08/16/2021,384,384,384,384
08/17/2021,386,386,386,386
08/18/2021,386,386,386,386
08/19/2021,380,383,380,383
08/20/2021,383,386,383,386
08/23/2021,387,389,387,389
08/24/2021,389,389,388,388
08/25/2021,389,389,389,389
08/26/2021,388,388,387,387
08/27/2021,387,387,387,387
08/30/2021,391,391,391,391
08/31/2021,391,391,390,390
09/01/2021,391,391,389,389
09/02/2021,389,390,389,390
09/03/2021,389,390,388,388
09/06/2021,390,390,390,390
09/07/2021,389,389,388,388
09/08/2021,388,388,388,388
09/09/2021,387,389,387,389
09/10/2021,388,388,385,385
09/13/2021,387,387,385,385
09/14/2021,385,385,384,384
09/15/2021,384,384,384,384
09/16/2021,387,387,386,386
09/17/2021,387,387,385,385
09/20/2021,381,381,378,378
09/21/2021,381,381,379,379
09/22/2021,380,382,380,382
09/23/2021,384,386,384,386
09/24/2021,385,386,385,386
09/27/2021,389,389,387,387
09/28/2021,386,386,380,380
09/29/2021,382,383,382,383
09/30/2021,386,386,383,383
10/01/2021,380,380,380,380
10/04/2021,381,381,376,376
10/05/2021,378,382,378,382
10/06/2021,380,381,380,381
10/07/2021,387,390,387,390
10/08/2021,389,389,388,388
10/11/2021,385,388,385,388
10/12/2021,381,385,381,385
10/13/2021,383,383,382,382
10/14/2021,385,389,385,389
